,Sample #,ASR Output,Model Output,Lavenstein,Lavenstein Mean,Flag
97,210,['gloucester'],['gloucester'],[100.0],100.0,True
98,217,['belgium'],['belgium'],[100.0],100.0,True
99,230,"['united', 'kingdom']","['united', 'kingdom']","[100.0, 100.0]",100.0,True
101,234,['gildford'],['gildford'],[100.0],100.0,True
102,235,"['st', 'albans']","['st', 'albans']","[100.0, 100.0]",100.0,True
103,236,['bristol'],['bristol'],[100.0],100.0,True
104,240,['bristol'],['bristol'],[100.0],100.0,True
105,241,"['bury', 'st', 'edmunds']","['bury', 'st', 'edmunds']","[100.0, 100.0, 100.0]",100.0,True
106,242,['chester'],['chester'],[100.0],100.0,True
107,243,['ilchester'],['ilchester'],[100.0],100.0,True
109,246,['newgate'],['newgate'],[100.0],100.0,True
110,247,['england'],['england'],[100.0],100.0,True
111,249,['newgate'],['newgate'],[100.0],100.0,True
113,253,['newgate'],['newgate'],[100.0],100.0,True
114,256,['london'],['london'],[100.0],100.0,True
115,257,['newgate'],['newgate'],[100.0],100.0,True
116,259,['turkey'],['turkey'],[100.0],100.0,True
117,266,['newgate'],['newgate'],[100.0],100.0,True
118,267,"['hoxton', 'hackney', 'road']","['hoxton', 'hackney', 'road']","[100.0, 100.0, 100.0]",100.0,True
120,286,['reading'],['reading'],[100.0],100.0,True
121,288,['london'],['london'],[100.0],100.0,True
123,291,['clerkenwell'],['clerkenwell'],[100.0],100.0,True
124,294,['england'],['england'],[100.0],100.0,True
125,298,['marion'],['marion'],[100.0],100.0,True
126,299,['shropshire'],['shropshire'],[100.0],100.0,True
127,300,"['suffolk', 'richmond', 'yorkshire']","['suffolk', 'richmond', 'yorkshire']","[100.0, 100.0, 100.0]",100.0,True
128,301,['godmanchester'],['godmanchester'],[100.0],100.0,True
129,303,"['walsall', 'staffordshire']","['walsall', 'staffordshire']","[100.0, 100.0]",100.0,True
130,305,['newgate'],['newgate'],[100.0],100.0,True
132,308,['newgate'],['newgate'],[100.0],100.0,True
133,309,['newgate'],['newgate'],[100.0],100.0,True
134,310,['nougat'],['nougat'],[100.0],100.0,True
136,316,['middlesex'],['middlesex'],[100.0],100.0,True
137,319,['richmond'],['richmond'],[100.0],100.0,True
138,320,"['england', 'wales']","['england', 'wales']","[100.0, 100.0]",100.0,True
140,328,['london'],['london'],[100.0],100.0,True
141,332,['england'],['england'],[100.0],100.0,True
142,335,"['united', 'states']","['united', 'states']","[100.0, 100.0]",100.0,True
143,336,['pennsylvania'],['pennsylvania'],[100.0],100.0,True
144,337,['auburn'],['auburn'],[100.0],100.0,True
145,338,['france'],['france'],[100.0],100.0,True
146,339,['england'],['england'],[100.0],100.0,True
147,341,['milbank'],['milbank'],[100.0],100.0,True
148,344,['newgate'],['newgate'],[100.0],100.0,True
150,354,['london'],['london'],[100.0],100.0,True
151,358,['newgate'],['newgate'],[100.0],100.0,True
152,359,['newgate'],['newgate'],[100.0],100.0,True
153,360,['newgate'],['newgate'],[100.0],100.0,True
154,361,['london'],['london'],[100.0],100.0,True
155,372,['newgate'],['newgate'],[100.0],100.0,True
