,Sample #,ASR Output,Model Output,Lavenstein,Lavenstein Mean,Flag
104,230,"['united', 'kingdom']","['united', 'kingdom']","[100.0, 100.0]",100.0,True
106,234,['gildford'],['gildford'],[100.0],100.0,True
107,235,"['st', 'albans']","['st', 'albans']","[100.0, 100.0]",100.0,True
108,236,['bristol'],['bristol'],[100.0],100.0,True
109,240,['bristol'],['bristol'],[100.0],100.0,True
110,241,"['bury', 'st', 'edmunds']","['bury', 'st', 'edmunds']","[100.0, 100.0, 100.0]",100.0,True
111,242,['chester'],['chester'],[100.0],100.0,True
112,243,['ilchester'],['ilchester'],[100.0],100.0,True
113,246,['newgate'],['newgate'],[100.0],100.0,True
114,247,['england'],['england'],[100.0],100.0,True
115,249,['newgate'],['newgate'],[100.0],100.0,True
116,253,['newgate'],['newgate'],[100.0],100.0,True
117,256,['london'],['london'],[100.0],100.0,True
118,257,['newgate'],['newgate'],[100.0],100.0,True
119,259,['turkey'],['turkey'],[100.0],100.0,True
120,266,['newgate'],['newgate'],[100.0],100.0,True
121,267,"['hoxton', 'hackney', 'road']","['hoxton', 'hackney', 'road']","[100.0, 100.0, 100.0]",100.0,True
123,286,['reading'],['reading'],[100.0],100.0,True
124,288,['london'],['london'],[100.0],100.0,True
125,290,"['clerkenwell', 'middlesex']","['clerkenwell', 'middlesex']","[100.0, 100.0]",100.0,True
126,291,['clerkenwell'],['clerkenwell'],[100.0],100.0,True
127,294,['england'],['england'],[100.0],100.0,True
128,298,['marion'],['marion'],[100.0],100.0,True
129,299,['shropshire'],['shropshire'],[100.0],100.0,True
130,300,"['suffolk', 'richmond', 'yorkshire']","['suffolk', 'richmond', 'yorkshire']","[100.0, 100.0, 100.0]",100.0,True
134,305,['newgate'],['newgate'],[100.0],100.0,True
137,308,['newgate'],['newgate'],[100.0],100.0,True
138,309,['newgate'],['newgate'],[100.0],100.0,True
139,316,['middlesex'],['middlesex'],[100.0],100.0,True
141,320,"['england', 'wales']","['england', 'wales']","[100.0, 100.0]",100.0,True
142,323,"['berwick', 'southampton', 'south', 'work']","['berwick', 'southampton', 'south', 'work']","[100.0, 100.0, 100.0, 100.0]",100.0,True
144,328,['london'],['london'],[100.0],100.0,True
145,332,['england'],['england'],[100.0],100.0,True
146,335,"['united', 'states']","['united', 'states']","[100.0, 100.0]",100.0,True
147,336,['pennsylvania'],['pennsylvania'],[100.0],100.0,True
148,337,['auburn'],['auburn'],[100.0],100.0,True
149,338,['france'],['france'],[100.0],100.0,True
150,339,['england'],['england'],[100.0],100.0,True
151,341,['milbank'],['milbank'],[100.0],100.0,True
153,354,['london'],['london'],[100.0],100.0,True
154,358,['newgate'],['newgate'],[100.0],100.0,True
155,359,['newgate'],['newgate'],[100.0],100.0,True
156,360,['newgate'],['newgate'],[100.0],100.0,True
157,361,['london'],['london'],[100.0],100.0,True
158,372,['newgate'],['newgate'],[100.0],100.0,True
