,sentence_no,Word,Tag
416,16,percent,O
417,16,of,O
418,16,overall,O
419,16,imports,O
420,17,DOCSTART,O
421,17,Rare,O
422,17,Hendrix,PER
423,17,song,O
424,17,draft,O
425,17,sells,O
426,17,for,O
427,17,almost,O
428,17,17000,O
429,18,LONDON,LOC
430,18,19960822,O
431,18,A,O
432,18,rare,O
433,18,early,O
434,18,handwritten,O
435,18,draft,O
436,18,of,O
437,18,a,O
438,18,song,O
439,18,by,O
440,18,US,LOC
441,18,guitar,O
442,18,legend,O
443,18,Jimi,PER
444,18,Hendrix,PER
445,18,was,O
446,18,sold,O
447,18,for,O
448,18,almost,O
449,18,17000,O
450,18,on,O
451,18,Thursday,O
452,18,at,O
453,18,an,O
454,18,auction,O
455,18,of,O
456,18,some,O
457,18,of,O
458,18,the,O
459,18,late,O
460,18,musicians,O
461,18,favourite,O
462,18,possessions,O
463,19,A,O
464,19,Florida,LOC
465,19,restaurant,O
466,19,paid,O
467,19,10925,O
468,19,pounds,O
469,19,16935,O
470,19,for,O
471,19,the,O
472,19,draft,O
473,19,of,O
474,19,Aint,O
475,19,no,O
476,19,telling,O
477,19,which,O
478,19,Hendrix,PER
479,19,penned,O
480,19,on,O
481,19,a,O
482,19,piece,O
483,19,of,O
484,19,London,LOC
485,19,hotel,O
486,19,stationery,O
487,19,in,O
488,19,late,O
489,19,1966,O
490,20,At,O
491,20,the,O
492,20,end,O
493,20,of,O
494,20,a,O
495,20,January,O
496,20,1967,O
497,20,concert,O
498,20,in,O
499,20,the,O
500,20,English,O
501,20,city,O
502,20,of,O
503,20,Nottingham,LOC
504,20,he,O
505,20,threw,O
506,20,the,O
507,20,sheet,O
508,20,of,O
509,20,paper,O
510,20,into,O
511,20,the,O
512,20,audience,O
513,20,where,O
514,20,it,O
515,20,was,O
516,20,retrieved,O
517,20,by,O
518,20,a,O
519,20,fan,O
520,21,Buyers,O
521,21,also,O
522,21,snapped,O
523,21,up,O
524,21,16,O
525,21,other,O
526,21,items,O
527,21,that,O
528,21,were,O
529,21,put,O
530,21,up,O
531,21,for,O
532,21,auction,O
533,21,by,O
534,21,Hendrixs,PER
535,21,former,O
536,21,girlfriend,O
537,21,Kathy,PER
538,21,Etchingham,PER
539,21,who,O
540,21,lived,O
541,21,with,O
542,21,him,O
543,21,from,O
544,21,1966,O
545,21,to,O
546,21,1969,O
547,22,They,O
548,22,included,O
549,22,a,O
550,22,black,O
551,22,lacquer,O
552,22,and,O
553,22,mother,O
554,22,of,O
555,22,pearl,O
556,22,inlaid,O
557,22,box,O
558,22,used,O
559,22,by,O
560,22,Hendrix,PER
561,22,to,O
562,22,store,O
563,22,his,O
564,22,drugs,O
565,22,which,O
566,22,an,O
567,22,anonymous,O
568,22,Australian,O
569,22,purchaser,O
570,22,bought,O
571,22,for,O
572,22,5060,O
573,22,pounds,O
574,22,7845,O
575,23,The,O
576,23,guitarist,O
577,23,died,O
578,23,of,O
579,23,a,O
580,23,drugs,O
581,23,overdose,O
582,23,in,O
583,23,1970,O
584,23,aged,O
585,23,27,O
586,24,DOCSTART,O
587,24,China,LOC
588,24,says,O
589,24,Taiwan,LOC
590,24,spoils,O
591,24,atmosphere,O
592,24,for,O
593,24,talks,O
594,25,BEIJING,LOC
595,25,19960822,O
596,25,China,LOC
597,25,on,O
598,25,Thursday,O
599,25,accused,O
600,25,Taipei,LOC
601,25,of,O
602,25,spoiling,O
603,25,the,O
604,25,atmosphere,O
605,25,for,O
606,25,a,O
607,25,resumption,O
608,25,of,O
609,25,talks,O
610,25,across,O
611,25,the,O
612,25,Taiwan,LOC
613,25,Strait,LOC
614,25,with,O
615,25,a,O
616,25,visit,O
617,25,to,O
618,25,Ukraine,LOC
619,25,by,O
620,25,Taiwanese,O
621,25,Vice,O
622,25,President,O
623,25,Lien,PER
624,25,Chan,PER
625,25,this,O
626,25,week,O
627,25,that,O
628,25,infuriated,O
629,25,Beijing,LOC
630,26,Speaking,O
631,26,only,O
632,26,hours,O
633,26,after,O
634,26,Chinese,O
635,26,state,O
636,26,media,O
637,26,said,O
638,26,the,O
639,26,time,O
640,26,was,O
641,26,right,O
642,26,to,O
643,26,engage,O
644,26,in,O
645,26,political,O
646,26,talks,O
647,26,with,O
648,26,Taiwan,LOC
649,26,Foreign,ORG
650,26,Ministry,ORG
651,26,spokesman,O
652,26,Shen,PER
653,26,Guofang,PER
654,26,told,O
655,26,Reuters,ORG
656,26,The,O
657,26,necessary,O
658,26,atmosphere,O
659,26,for,O
660,26,the,O
661,26,opening,O
662,26,of,O
663,26,the,O
664,26,talks,O
665,26,has,O
666,26,been,O
667,26,disrupted,O
668,26,by,O
669,26,the,O
670,26,Taiwan,LOC
671,26,authorities,O
672,27,State,O
673,27,media,O
674,27,quoted,O
675,27,Chinas,LOC
676,27,top,O
677,27,negotiator,O
678,27,with,O
679,27,Taipei,LOC
680,27,Tang,PER
681,27,Shubei,PER
682,27,as,O
683,27,telling,O
684,27,a,O
685,27,visiting,O
686,27,group,O
687,27,from,O
688,27,Taiwan,LOC
689,27,on,O
690,27,Wednesday,O
691,27,that,O
692,27,it,O
693,27,was,O
694,27,time,O
695,27,for,O
696,27,the,O
697,27,rivals,O
698,27,to,O
699,27,hold,O
700,27,political,O
701,27,talks,O
702,28,Now,O
703,28,is,O
704,28,the,O
705,28,time,O
706,28,for,O
707,28,the,O
708,28,two,O
709,28,sides,O
710,28,to,O
711,28,engage,O
712,28,in,O
713,28,political,O
714,28,talks,O
715,28,that,O
716,28,is,O
717,28,to,O
718,28,end,O
719,28,the,O
720,28,state,O
721,28,of,O
722,28,hostility,O
723,28,Thursdays,O
724,28,overseas,O
725,28,edition,O
726,28,of,O
727,28,the,O
728,28,Peoples,ORG
729,28,Daily,ORG
730,28,quoted,O
731,28,Tang,PER
732,28,as,O
733,28,saying,O
734,29,The,O
735,29,foreign,O
736,29,ministrys,O
737,29,Shen,ORG
738,29,told,O
739,29,Reuters,ORG
740,29,Television,ORG
741,29,in,O
742,29,an,O
743,29,interview,O
744,29,he,O
745,29,had,O
746,29,read,O
747,29,reports,O
748,29,of,O
749,29,Tangs,PER
750,29,comments,O
751,29,but,O
752,29,gave,O
753,29,no,O
754,29,details,O
755,29,of,O
756,29,why,O
757,29,the,O
758,29,negotiator,O
759,29,had,O
760,29,considered,O
761,29,the,O
762,29,time,O
763,29,right,O
764,29,for,O
765,29,talks,O
766,29,with,O
767,29,Taiwan,LOC
768,29,which,O
769,29,Beijing,LOC
770,29,considers,O
771,29,a,O
772,29,renegade,O
773,29,province,O
774,30,China,LOC
775,30,which,O
776,30,has,O
777,30,long,O
778,30,opposed,O
779,30,all,O
780,30,Taipei,LOC
781,30,efforts,O
782,30,to,O
783,30,gain,O
784,30,greater,O
785,30,international,O
786,30,recognition,O
787,30,was,O
788,30,infuriated,O
789,30,by,O
790,30,a,O
791,30,visit,O
792,30,to,O
793,30,Ukraine,LOC
794,30,this,O
795,30,week,O
796,30,by,O
797,30,Taiwanese,O
798,30,Vice,O
799,30,President,O
800,30,Lien,PER
801,31,DOCSTART,O
802,31,China,LOC
803,31,says,O
804,31,time,O
805,31,right,O
806,31,for,O
807,31,Taiwan,LOC
808,31,talks,O
809,32,BEIJING,LOC
810,32,19960822,O
811,32,China,LOC
812,32,has,O
813,32,said,O
814,32,it,O
815,32,was,O
816,32,time,O
817,32,for,O
818,32,political,O
819,32,talks,O
820,32,with,O
821,32,Taiwan,LOC
822,32,and,O
823,32,that,O
824,32,the,O
825,32,rival,O
826,32,island,O
827,32,should,O
828,32,take,O
829,32,practical,O
830,32,steps,O
831,32,towards,O
832,32,that,O
833,32,goal,O
834,33,Consultations,O
835,33,should,O
836,33,be,O
837,33,held,O
838,33,to,O
839,33,set,O
840,33,the,O
841,33,time,O
842,33,and,O
843,33,format,O
844,33,of,O
845,33,the,O
846,33,talks,O
847,33,the,O
848,33,official,O
849,33,Xinhua,ORG
850,33,news,O
851,33,agency,O
852,33,quoted,O
853,33,Tang,PER
854,33,Shubei,PER
855,33,executive,O
856,33,vice,O
857,33,chairman,O
858,33,of,O
859,33,the,O
860,33,Association,ORG
861,33,for,ORG
862,33,Relations,ORG
863,33,Across,ORG
864,33,the,ORG
865,33,Taiwan,ORG
866,33,Straits,ORG
867,33,as,O
868,33,saying,O
869,33,late,O
870,33,on,O
871,33,Wednesday,O
872,34,DOCSTART,O
873,34,German,O
874,34,July,O
875,34,car,O
876,34,registrations,O
877,34,up,O
878,34,142,O
879,34,pct,O
880,34,yr,O
881,34,yr,O
882,35,FRANKFURT,LOC
883,35,19960822,O
884,35,German,O
885,35,firsttime,O
886,35,registrations,O
887,35,of,O
888,35,motor,O
889,35,vehicles,O
890,35,jumped,O
891,35,142,O
892,35,percent,O
893,35,in,O
894,35,July,O
895,35,this,O
896,35,year,O
897,35,from,O
898,35,the,O
899,35,yearearlier,O
900,35,period,O
901,35,the,O
902,35,Federal,ORG
903,35,office,ORG
904,35,for,ORG
905,35,motor,ORG
906,35,vehicles,ORG
907,35,said,O
908,35,on,O
909,35,Thursday,O
910,36,The,O
911,36,office,O
912,36,said,O
913,36,356725,O
914,36,new,O
915,36,cars,O
916,36,were,O
917,36,registered,O
918,36,in,O
919,36,July,O
920,36,1996,O
921,36,304850,O
922,36,passenger,O
923,36,cars,O
924,36,and,O
925,36,15613,O
926,36,trucks,O
927,37,The,O
928,37,figures,O
929,37,represent,O
930,37,a,O
931,37,136,O
932,37,percent,O
933,37,increase,O
934,37,for,O
935,37,passenger,O
936,37,cars,O
937,37,and,O
938,37,a,O
939,37,22,O
940,37,percent,O
941,37,decline,O
942,37,for,O
943,37,trucks,O
944,37,from,O
945,37,July,O
946,37,1995,O
947,38,Motorbike,O
948,38,registration,O
949,38,rose,O
950,38,327,O
951,38,percent,O
952,38,in,O
953,38,the,O
954,38,period,O
955,39,The,O
956,39,growth,O
957,39,was,O
958,39,partly,O
959,39,due,O
960,39,to,O
961,39,an,O
962,39,increased,O
963,39,number,O
964,39,of,O
965,39,Germans,O
966,39,buying,O
967,39,German,O
968,39,cars,O
969,39,abroad,O
970,39,while,O
971,39,manufacturers,O
972,39,said,O
973,39,that,O
974,39,domestic,O
975,39,demand,O
976,39,was,O
977,39,weak,O
978,39,the,O
979,39,federal,O
980,39,office,O
981,39,said,O
982,40,Almost,O
983,40,all,O
984,40,German,O
985,40,car,O
986,40,manufacturers,O
987,40,posted,O
988,40,gains,O
989,40,in,O
990,40,registration,O
991,40,numbers,O
992,40,in,O
993,40,the,O
994,40,period,O
995,41,Volkswagen,ORG
996,41,AG,ORG
997,41,won,O
998,41,77719,O
999,41,registrations,O
1000,41,slightly,O
1001,41,more,O
1002,41,than,O
1003,41,a,O
1004,41,quarter,O
1005,41,of,O
1006,41,the,O
1007,41,total,O
1008,42,Opel,ORG
1009,42,AG,ORG
1010,42,together,O
1011,42,with,O
1012,42,General,ORG
1013,42,Motors,ORG
1014,42,came,O
1015,42,in,O
1016,42,second,O
1017,42,place,O
1018,42,with,O
1019,42,49269,O
1020,42,registrations,O
1021,42,164,O
1022,42,percent,O
1023,42,of,O
1024,42,the,O
1025,42,overall,O
1026,42,figure,O
1027,43,Third,O
1028,43,was,O
1029,43,Ford,ORG
1030,43,with,O
1031,43,35563,O
1032,43,registrations,O
1033,43,or,O
1034,43,117,O
1035,43,percent,O
1036,44,Only,O
1037,44,Seat,ORG
1038,44,and,O
1039,44,Porsche,ORG
1040,44,had,O
1041,44,fewer,O
1042,44,registrations,O
1043,44,in,O
1044,44,July,O
1045,44,1996,O
1046,44,compared,O
1047,44,to,O
1048,44,last,O
1049,44,years,O
1050,44,July,O
1051,45,Seat,ORG
1052,45,posted,O
1053,45,3420,O
1054,45,registrations,O
1055,45,compared,O
1056,45,with,O
1057,45,5522,O
1058,45,registrations,O
1059,45,in,O
1060,45,July,O
1061,45,a,O
1062,45,year,O
1063,45,earlier,O
1064,46,Porsches,ORG
1065,46,registrations,O
1066,46,fell,O
1067,46,to,O
1068,46,554,O
1069,46,from,O
1070,46,643,O
1071,47,DOCSTART,O
1072,47,GREEK,O
1073,47,SOCIALISTS,O
1074,47,GIVE,O
1075,47,GREEN,O
1076,47,LIGHT,O
1077,47,TO,O
1078,47,PM,O
1079,47,FOR,O
1080,47,ELECTIONS,O
1081,48,ATHENS,LOC
1082,48,19960822,O
1083,48,The,O
1084,48,Greek,O
1085,48,socialist,O
1086,48,partys,O
1087,48,executive,O
1088,48,bureau,O
1089,48,gave,O
1090,48,the,O
1091,48,green,O
1092,48,light,O
1093,48,to,O
1094,48,Prime,O
1095,48,Minister,O
1096,48,Costas,PER
1097,48,Simitis,PER
1098,48,to,O
1099,48,call,O
1100,48,snap,O
1101,48,elections,O
1102,48,its,O
1103,48,general,O
1104,48,secretary,O
1105,48,Costas,PER
1106,48,Skandalidis,PER
1107,48,told,O
1108,48,reporters,O
1109,49,Prime,O
1110,49,Minister,O
1111,49,Costas,PER
1112,49,Simitis,PER
1113,49,is,O
1114,49,going,O
1115,49,to,O
1116,49,make,O
1117,49,an,O
1118,49,official,O
1119,49,announcement,O
1120,49,after,O
1121,49,a,O
1122,49,cabinet,O
1123,49,meeting,O
1124,49,later,O
1125,49,on,O
1126,49,Thursday,O
1127,49,said,O
1128,49,Skandalidis,PER
1129,50,Dimitris,PER
1130,50,Kontogiannis,PER
1131,50,Athens,ORG
1132,50,Newsroom,ORG
1133,50,301,O
1134,50,33118124,O
1135,50,DOCSTART,O
1136,50,BayerVB,ORG
1137,50,sets,O
1138,50,C,O
1139,50,100,O
1140,50,million,O
1141,50,sixyear,O
1142,50,bond,O
1143,51,LONDON,LOC
1144,51,19960822,O
1145,51,The,O
1146,51,following,O
1147,51,bond,O
1148,51,was,O
1149,51,announced,O
1150,51,by,O
1151,51,lead,O
1152,51,manager,O
1153,51,Toronto,PER
1154,51,Dominion,PER
1155,52,BORROWER,O
1156,52,BAYERISCHE,ORG
1157,52,VEREINSBANK,ORG
1158,52,AMT,O
1159,52,C,O
1160,52,100,O
1161,52,MLN,O
1162,52,COUPON,O
1163,52,6625,O
1164,52,MATURITY,O
1165,52,24SEP02,O
1166,52,TYPE,O
1167,52,STRAIGHT,O
1168,52,ISS,O
1169,52,PRICE,O
1170,52,10092,O
1171,52,PAY,O
1172,52,DATE,O
1173,52,24SEP96,O
1174,52,FULL,O
1175,52,FEES,O
1176,52,1875,O
1177,52,REOFFER,O
1178,52,9932,O
1179,52,SPREAD,O
1180,52,20,O
1181,52,BP,O
1182,52,MOODY,O
1183,52,AA1,O
1184,52,LISTING,O
1185,52,LUX,O
1186,52,PAY,O
1187,52,FREQ,O
1188,52,SP,ORG
1189,52,DENOMS,O
1190,52,K,O
1191,52,110100,O
1192,52,SALE,O
1193,52,LIMITS,O
1194,52,US,LOC
1195,52,UK,LOC
1196,52,CA,LOC
1197,52,NEG,O
1198,52,PLG,O
1199,52,NO,O
1200,52,CRS,O
1201,52,DEFLT,O
1202,52,NO,O
1203,52,FORCE,O
1204,52,MAJ,O
1205,52,GOV,O
1206,52,LAW,O
1207,52,GERMAN,O
1208,52,HOME,O
1209,52,CTRY,O
1210,52,TAX,O
1211,52,PROVS,O
1212,52,STANDARD,O
1213,52,MGT,O
1214,52,UND,O
1215,52,0275,O
1216,52,SELL,O
1217,52,CONC,O
1218,52,160,O
1219,52,PRAECIP,O
1220,52,UNDERLYING,O
1221,52,GOVT,O
1222,52,BOND,O
1223,52,70,O
1224,52,PCT,O
1225,52,SEPT,O
1226,52,2001,O
1227,52,NOTES,O
1228,52,BAYERISCHE,ORG
1229,52,VEREINSBANK,ORG
1230,52,IS,O
1231,52,JOINT,O
1232,52,LEAD,O
1233,52,MANAGER,O
1234,52,London,ORG
1235,52,Newsroom,ORG
1236,52,44,O
1237,52,171,O
1238,52,542,O
1239,52,7658,O
1240,52,DOCSTART,O
1241,52,Venantius,ORG
1242,52,sets,O
1243,52,300,O
1244,52,million,O
1245,52,January,O
1246,52,1999,O
1247,52,FRN,O
1248,53,LONDON,LOC
1249,53,19960822,O
1250,53,The,O
1251,53,following,O
1252,53,floatingrate,O
1253,53,issue,O
1254,53,was,O
1255,53,announced,O
1256,53,by,O
1257,53,lead,O
1258,53,manager,O
1259,53,Lehman,ORG
1260,53,Brothers,ORG
1261,53,International,ORG
1262,54,BORROWER,O
1263,54,VENANTIUS,ORG
1264,54,AB,ORG
1265,54,SWEDISH,O
1266,54,NATIONAL,O
1267,54,MORTGAGE,O
1268,54,AGENCY,O
1269,54,AMT,O
1270,54,300,O
1271,54,MLN,O
1272,54,SPREAD,O
1273,54,125,O
1274,54,BP,O
1275,54,MATURITY,O
1276,54,21JAN99,O
1277,54,TYPE,O
1278,54,FRN,O
1279,54,BASE,O
1280,54,3M,ORG
1281,54,LIBOR,O
1282,54,PAY,O
1283,54,DATE,O
1284,54,S23SEP96,O
1285,54,LAST,O
1286,54,MOODY,O
1287,54,AA3,O
1288,54,ISS,O
1289,54,PRICE,O
1290,54,99956,O
1291,54,FULL,O
1292,54,FEES,O
1293,54,10,O
1294,54,BP,O
1295,54,LAST,O
1296,54,SP,ORG
1297,54,AA,O
1298,54,REOFFER,O
1299,54,NOTES,O
1300,54,S,O
1301,54,SHORT,O
1302,54,FIRST,O
1303,54,COUPON,O
1304,54,LISTING,O
1305,54,LONDON,LOC
1306,54,DENOMS,O
1307,54,K,O
1308,54,110100,O
1309,54,SALE,O
1310,54,LIMITS,O
1311,54,US,LOC
1312,54,UK,LOC
1313,54,JP,LOC
1314,54,FR,LOC
1315,54,NEG,O
1316,54,PLG,O
1317,54,YES,O
1318,54,CRS,O
1319,54,DEFLT,O
1320,54,NO,O
1321,54,FORCE,O
1322,54,MAJ,O
1323,54,IPMA,O
1324,54,2,O
1325,54,GOV,O
1326,54,LAW,O
1327,54,ENGLISH,O
1328,54,HOME,O
1329,54,CTRY,O
1330,54,SWEDEN,LOC
1331,54,TAX,O
1332,54,PROVS,O
1333,54,STANDARD,O
1334,54,MGT,O
1335,54,UND,O
1336,54,5,O
1337,54,BP,O
1338,54,SELL,O
1339,54,CONC,O
1340,54,5,O
1341,54,BP,O
1342,54,PRAECIP,O
1343,54,NOTES,O
1344,54,ISSUED,O
1345,54,OFF,O
1346,54,EMTN,O
1347,54,PROGRAMME,O
1348,54,London,ORG
1349,54,Newsroom,ORG
1350,54,44,O
1351,54,171,O
1352,54,542,O
1353,54,8863,O
1354,54,DOCSTART,O
1355,54,Port,O
1356,54,conditions,O
1357,54,update,O
1358,54,Syria,LOC
1359,54,Lloyds,ORG
1360,54,Shipping,ORG
1361,55,Port,O
1362,55,conditions,O
1363,55,from,O
1364,55,Lloyds,ORG
1365,55,Shipping,ORG
1366,55,Intelligence,ORG
1367,55,Service,ORG
1368,55,LATTAKIA,LOC
1369,55,Aug,O
1370,55,10,O
1371,55,waiting,O
1372,55,time,O
1373,55,at,O
1374,55,Lattakia,LOC
1375,55,and,O
1376,55,Tartous,LOC
1377,55,presently,O
1378,55,24,O
1379,55,hours,O
1380,56,DOCSTART,O
1381,56,Israel,LOC
1382,56,plays,O
1383,56,down,O
1384,56,fears,O
1385,56,of,O
1386,56,war,O
1387,56,with,O
1388,56,Syria,LOC
1389,57,Colleen,PER
1390,57,Siegel,PER
1391,57,JERUSALEM,LOC
1392,57,19960822,O
1393,57,Israels,LOC
1394,57,outgoing,O
1395,57,peace,O
1396,57,negotiator,O
1397,57,with,O
1398,57,Syria,LOC
1399,57,said,O
1400,57,on,O
1401,57,Thursday,O
1402,57,current,O
1403,57,tensions,O
1404,57,between,O
1405,57,the,O
1406,57,two,O
1407,57,countries,O
1408,57,appeared,O
1409,57,to,O
1410,57,be,O
1411,57,a,O
1412,57,storm,O
1413,57,in,O
1414,57,a,O
1415,57,teacup,O
1416,58,Itamar,PER
1417,58,Rabinovich,PER
1418,58,who,O
1419,58,as,O
1420,58,Israels,LOC
1421,58,ambassador,O
1422,58,to,O
1423,58,Washington,LOC
1424,58,conducted,O
1425,58,unfruitful,O
1426,58,negotiations,O
1427,58,with,O
1428,58,Syria,LOC
1429,58,told,O
1430,58,Israel,ORG
1431,58,Radio,ORG
1432,58,it,O
