,Sentence #,Word,Tag
27002,3882,Jail,LOC
27003,3882,",",O
27004,3882,where,O
27005,3882,her,O
27006,3882,husband,O
27007,3882,soon,O
27008,3882,afterwards,O
27009,3882,joined,O
27010,3882,her,O
27011,3882,.,O
33478,4615,Calcraft,PER
33479,4615,',O
33480,4615,s,O
33481,4615,emoluments,O
33482,4615,were,O
33483,4615,a,O
33484,4615,guinea,O
33485,4615,per,O
33486,4615,week,O
33487,4615,",",O
33488,4615,and,O
33489,4615,an,O
33490,4615,extra,O
33491,4615,guinea,O
33492,4615,for,O
33493,4615,every,O
33494,4615,execution,O
33495,4615,.,O
34740,4754,The,O
34741,4754,sufferer,O
34742,4754,was,O
34743,4754,a,O
34744,4754,porter,O
34745,4754,on,O
34746,4754,the,O
34747,4754,London,LOC
34748,4754,",",O
34749,4754,Chatham,LOC
34750,4754,",",O
34751,4754,and,O
34752,4754,Dover,LOC
34753,4754,Dover,LOC
34754,4754,railway,O
34755,4754,",",O
34756,4754,sentenced,O
34757,4754,to,O
34758,4754,death,O
34759,4754,for,O
34760,4754,shooting,O
34761,4754,the,O
34762,4754,station,O
34763,4754,-,O
34764,4754,master,O
34765,4754,at,O
34766,4754,Dover,LOC
34767,4754,Dover,LOC
34768,4754,.,O
37343,5091,when,O
37344,5091,asked,O
37345,5091,said,O
37346,5091,they,O
37347,5091,would,O
37348,5091,spare,O
37349,5091,his,O
37350,5091,life,O
37351,5091,if,O
37352,5091,he,O
37353,5091,would,O
37354,5091,navigate,O
37355,5091,the,O
37356,5091,ship,O
37357,5091,for,O
37358,5091,them,O
37359,5091,to,O
37360,5091,the,O
37361,5091,River,LOC
37362,5091,Plate,LOC
37363,5091,or,O
37364,5091,Buenos,LOC
37365,5091,Aires,LOC
37366,5091,.,O
37855,5147,About,O
37856,5147,the,O
37857,5147,same,O
37858,5147,time,O
37859,5147,a,O
37860,5147,body,O
37861,5147,was,O
37862,5147,discovered,O
37863,5147,on,O
37864,5147,the,O
37865,5147,line,O
37866,5147,near,O
37867,5147,the,O
37868,5147,railway,O
37869,5147,-,O
37870,5147,bridge,O
37871,5147,by,O
37872,5147,Victoria,LOC
37873,5147,Park,LOC
37874,5147,.,O
38053,5166,Last,O
38054,5166,of,O
38055,5166,all,O
38056,5166,",",O
38057,5166,the,O
38058,5166,cabman,O
38059,5166,swore,O
38060,5166,that,O
38061,5166,he,O
38062,5166,had,O
38063,5166,bought,O
38064,5166,the,O
38065,5166,very,O
38066,5166,hat,O
38067,5166,found,O
38068,5166,in,O
38069,5166,the,O
38070,5166,carriage,O
38071,5166,for,O
38072,5166,Müller,PER
38073,5166,at,O
38074,5166,the,O
38075,5166,hatter,O
38076,5166,',O
38077,5166,s,O
38078,5166,",",O
38079,5166,Walker,PER
38080,5166,',O
38081,5166,s,O
38082,5166,of,O
38083,5166,Crawford,LOC
38084,5166,Street,LOC
38085,5166,.,O
38110,5168,There,O
38111,5168,was,O
38112,5168,no,O
38113,5168,mystery,O
38114,5168,about,O
38115,5168,his,O
38116,5168,departure,O
38117,5168,,
38118,5168,he,O
38119,5168,had,O
38120,5168,gone,O
38121,5168,to,O
38122,5168,Canada,LOC
38123,5168,",",O
38124,5168,by,O
38125,5168,the,O
38126,5168,',O
38127,5168,Victoria,LOC
38128,5168,',O
38129,5168,sailing,O
38130,5168,ship,O
38131,5168,",",O
38132,5168,starting,O
38133,5168,from,O
38134,5168,the,O
38135,5168,London,LOC
38136,5168,docks,O
38137,5168,",",O
38138,5168,and,O
38139,5168,bound,O
38140,5168,to,O
38141,5168,New,LOC
38142,5168,York,LOC
38143,5168,.,O
39416,5285,Buncher,PER
39417,5285,was,O
39418,5285,then,O
39419,5285,tracked,O
39420,5285,to,O
39421,5285,North,LOC
39422,5285,Kent,LOC
39423,5285,Terrace,LOC
39424,5285,",",O
39425,5285,New,LOC
39426,5285,Cross,LOC
39427,5285,",",O
39428,5285,where,O
39429,5285,a,O
39430,5285,Mr,O
39431,5285,.,O
39432,5285,and,O
39433,5285,Mrs,PER
39434,5285,.,O
39435,5285,Campbell,PER
39436,5285,resided,O
39437,5285,",",O
42338,5670,This,O
42339,5670,was,O
42340,5670,obviated,O
42341,5670,by,O
42342,5670,the,O
42343,5670,frequent,O
42344,5670,sessions,O
42345,5670,of,O
42346,5670,the,O
42347,5670,Central,ORG
42348,5670,Criminal,ORG
42349,5670,Court,ORG
42350,5670,",",O
42351,5670,and,O
42352,5670,the,O
42353,5670,utilization,O
42354,5670,of,O
42355,5670,the,O
42356,5670,two,O
42357,5670,subsidiary,O
42358,5670,prisons,O
42359,5670,in,O
42360,5670,Giltspur,LOC
42361,5670,Street,LOC
42362,5670,and,O
42363,5670,Southwark,LOC
42364,5670,.,O
42834,5737,But,O
42835,5737,the,O
42836,5737,condition,O
42837,5737,of,O
42838,5737,the,O
42839,5737,great,O
42840,5737,city,O
42841,5737,jail,O
42842,5737,was,O
42843,5737,evidently,O
42844,5737,considered,O
42845,5737,a,O
42846,5737,reproach,O
42847,5737,by,O
42848,5737,the,O
42849,5737,city,O
42850,5737,authorities,O
42851,5737,",",O
42852,5737,and,O
42853,5737,a,O
42854,5737,year,O
42855,5737,after,O
42856,5737,the,O
42857,5737,opening,O
42858,5737,of,O
42859,5737,the,O
42860,5737,new,O
42861,5737,"""",O
42862,5737,model,O
42863,5737,"""",O
42864,5737,at,O
42865,5737,Pentonville,LOC
42866,5737,",",O
48322,7368,I,O
48323,7368,completed,O
48324,7368,Imgur,O
48325,7368,-,O
48326,7368,Bel,PER
48327,7368,Bel,PER
48328,7368,and,O
48329,7368,Nimitti,PER
48330,7368,-,O
48331,7368,Bel,PER
48332,7368,Bel,PER
48333,7368,",",O
48334,7368,the,O
48335,7368,great,O
48336,7368,walls,O
48337,7368,of,O
48338,7368,Babylon,LOC
48339,7368,",",O
48340,7368,the,O
48341,7368,mighty,O
48342,7368,city,O
48343,7368,",",O
48344,7368,the,O
48345,7368,city,O
48346,7368,of,O
48347,7368,his,O
48348,7368,exalted,O
48349,7368,power,O
48350,7368,.,O
48442,7384,Berossus,PER
48443,7384,",",O
48444,7384,a,O
48445,7384,priest,O
48446,7384,of,O
48447,7384,the,O
48448,7384,temple,O
48449,7384,of,O
48450,7384,Bel,LOC
48451,7384,at,O
48452,7384,Babylon,LOC
48453,7384,",",O
48454,7384,writing,O
48455,7384,about,O
48456,7384,250,O
48457,7384,B,O
48458,7384,.,O
48459,7384,C,O
48460,7384,.,O
48461,7384,",",O
49008,7467,Nabonidus,PER
49009,7467,was,O
49010,7467,taken,O
49011,7467,prisoner,O
49012,7467,in,O
49013,7467,Babylon,LOC
49014,7467,Babylon,LOC
49015,7467,.,O
49016,7467,On,O
49017,7467,the,O
49018,7467,third,O
49019,7467,of,O
49020,7467,Marchesvan,PER
49021,7467,Cyrus,PER
49022,7467,entered,O
49023,7467,Babylon,LOC
49024,7467,Babylon,LOC
49025,7467,and,O
49026,7467,proclaimed,O
49027,7467,peace,O
49028,7467,to,O
49029,7467,all,O
49030,7467,the,O
49031,7467,city,O
49032,7467,.,O
50646,7619,for,O
50647,7619,history,O
50648,7619,mentions,O
50649,7619,the,PER
50650,7619,names,O
50651,7619,of,O
50652,7619,two,O
50653,7619,of,O
50654,7619,its,O
50655,7619,later,O
50656,7619,rulers,O
50657,7619,.,O
50658,7619,The,O
50659,7619,palace,O
50660,7619,of,O
50661,7619,Nebuchadnezzar,LOC
50662,7619,was,O
50663,7619,occupied,O
50664,7619,by,O
50665,7619,Alexander,PER
50666,7619,the,PER
50667,7619,Great,PER
50668,7619,",",O
51213,7671,All,O
51214,7671,the,O
51215,7671,ground,O
51216,7671,on,O
51217,7671,which,O
51218,7671,Babylon,LOC
51219,7671,was,O
51220,7671,spread,O
51221,7671,is,O
51222,7671,left,O
51223,7671,now,O
51224,7671,desolate,O
51225,7671,,
51226,7671,nothing,O
51227,7671,standing,O
51228,7671,in,O
51229,7671,that,O
51230,7671,Peninsula,LOC
51231,7671,between,O
51232,7671,the,O
51233,7671,Euphrates,LOC
51234,7671,and,O
51235,7671,the,O
51236,7671,Tigris,LOC
51237,7671,",",O
51562,7701,Deep,O
51563,7701,down,O
51564,7701,in,O
51565,7701,the,O
51566,7701,mound,O
51567,7701,the,O
51568,7701,Germans,O
51569,7701,discovered,O
51570,7701,the,O
51571,7701,palace,O
51572,7701,of,O
51573,7701,Nebuchadnezzar,LOC
51574,7701,with,O
51575,7701,its,O
51576,7701,hundreds,O
51577,7701,of,O
51578,7701,small,O
51579,7701,chambers,O
51580,7701,and,O
51581,7701,its,O
51582,7701,huge,O
51583,7701,surrounding,O
51584,7701,walls,O
51585,7701,.,O
51625,7704,Upon,O
51626,7704,the,O
51627,7704,little,O
51628,7704,mound,O
51629,7704,Jumjuma,PER
51630,7704,farther,O
51631,7704,on,O
51632,7704,",",O
51633,7704,an,O
51634,7704,Arab,O
51635,7704,village,O
51636,7704,has,O
51637,7704,long,O
51638,7704,stood,O
51639,7704,.,O
52176,7784,the,O
52177,7784,activities,O
52178,7784,at,O
52179,7784,Parkland,LOC
52180,7784,Memorial,LOC
52181,7784,Hospital,LOC
52182,7784,",",O
52183,7784,and,O
52184,7784,the,O
52185,7784,return,O
52186,7784,of,O
52187,7784,the,O
52188,7784,Presidential,ORG
52189,7784,party,O
52190,7784,to,O
52191,7784,Washington,LOC
52192,7784,.,O
52295,7794,Vice,O
52296,7794,President,O
52297,7794,Johnson,PER
52298,7794,",",O
52299,7794,and,O
52300,7794,Governor,O
52301,7794,Connally,PER
52302,7794,on,O
52303,7794,June,O
52304,7794,5th,O
52305,7794,",",O
52306,7794,1963,O
52307,7794,",",O
52308,7794,at,O
52309,7794,the,O
52310,7794,Cortez,LOC
52311,7794,Hotel,LOC
52312,7794,in,O
52313,7794,El,LOC
52314,7794,Paso,LOC
52315,7794,",",O
52316,7794,Texas,LOC
52317,7794,.,O
52318,7795,The,O
52319,7795,President,O
52320,7795,had,O
52321,7795,spoken,O
52322,7795,earlier,O
52323,7795,that,O
52324,7795,day,O
52325,7795,at,O
52326,7795,the,O
52327,7795,Air,ORG
52328,7795,Force,ORG
52329,7795,Academy,ORG
52330,7795,in,O
52331,7795,Colorado,LOC
52332,7795,Colorado,LOC
52333,7795,Springs,LOC
52334,7795,",",O
52335,7795,Colorado,LOC
52336,7795,Colorado,LOC
52337,7795,.,O
52375,7798,The,O
52376,7798,original,O
52377,7798,plan,O
52378,7798,called,O
52379,7798,for,O
52380,7798,the,O
52381,7798,President,O
52382,7798,to,O
52383,7798,spend,O
52384,7798,only,O
52385,7798,1,O
52386,7798,day,O
52387,7798,in,O
52388,7798,the,O
52389,7798,State,O
52390,7798,",",O
52391,7798,making,O
52392,7798,whirlwind,O
52393,7798,visits,O
52394,7798,to,O
52395,7798,Dallas,LOC
52396,7798,",",O
52397,7798,Fort,LOC
52398,7798,Worth,LOC
52399,7798,",",O
52400,7798,San,LOC
52401,7798,Antonio,LOC
52402,7798,",",O
52403,7798,and,O
52404,7798,Houston,LOC
52405,7798,.,O
53022,7837,The,O
53023,7837,FBI,ORG
53024,7837,office,O
53025,7837,in,O
53026,7837,Dallas,LOC
53027,7837,Dallas,LOC
53028,7837,gave,O
53029,7837,the,O
53030,7837,local,O
53031,7837,Secret,ORG
53032,7837,Service,ORG
53033,7837,representatives,O
53034,7837,the,O
53035,7837,name,O
53036,7837,of,O
53037,7837,a,O
53038,7837,possibly,O
53039,7837,dangerous,O
53040,7837,individual,O
53041,7837,in,O
53042,7837,the,O
53043,7837,Dallas,LOC
53044,7837,Dallas,LOC
53045,7837,area,O
53046,7837,who,O
53047,7837,was,O
53048,7837,investigated,O
53049,7837,.,O
53225,7849,that,O
53226,7849,the,O
53227,7849,President,O
53228,7849,would,O
53229,7849,arrive,O
53230,7849,and,O
53231,7849,depart,O
53232,7849,from,O
53233,7849,Dallas,LOC
53234,7849,Dallas,LOC
53235,7849,',O
53236,7849,Love,LOC
53237,7849,Field,LOC
53238,7849,,
53239,7849,that,O
53240,7849,a,O
53241,7849,motorcade,O
53242,7849,through,O
53243,7849,the,O
53244,7849,downtown,O
53245,7849,area,O
53246,7849,of,O
53247,7849,Dallas,LOC
53248,7849,Dallas,LOC
53249,7849,to,O
53250,7849,the,O
53251,7849,luncheon,O
53252,7849,site,O
53253,7849,should,O
53254,7849,be,O
53255,7849,arranged,O
53256,7849,,
53843,7888,in,O
53844,7888,1936,O
53845,7888,",",O
53846,7888,as,O
53847,7888,testified,O
53848,7888,that,O
53849,7888,the,O
53850,7888,traditional,O
53851,7888,parade,O
53852,7888,route,O
53853,7888,in,O
53854,7888,Dallas,LOC
53855,7888,was,O
53856,7888,along,O
53857,7888,Main,LOC
53858,7888,Street,LOC
53859,7888,",",O
53860,7888,since,O
53861,7888,the,O
53862,7888,tall,O
53863,7888,buildings,O
53864,7888,along,O
53865,7888,the,O
53866,7888,street,O
53867,7890,The,O
53868,7890,route,O
53869,7890,chosen,O
53870,7890,from,O
53871,7890,the,O
53872,7890,airport,O
53873,7890,to,O
53874,7890,Main,LOC
53875,7890,Main,LOC
53876,7890,Street,LOC
53877,7890,Street,LOC
53878,7890,Street,LOC
53879,7890,was,O
53880,7890,the,O
53881,7890,normal,O
53882,7890,one,O
53883,7890,",",O
53884,7890,except,O
53885,7890,where,O
53886,7890,Harwood,LOC
53887,7890,Street,LOC
53888,7890,Street,LOC
53889,7890,Street,LOC
53890,7890,was,O
53891,7890,selected,O
53892,7890,as,O
53893,7890,the,O
53894,7890,means,O
53895,7890,of,O
53896,7890,access,O
53897,7890,to,O
53898,7890,Main,LOC
53899,7890,Main,LOC
53900,7890,Street,LOC
53901,7890,Street,LOC
53902,7890,Street,LOC
53944,7898,Elm,LOC
53945,7898,Street,LOC
53946,7898,Street,LOC
53947,7898,",",O
53948,7898,parallel,O
53949,7898,to,O
53950,7898,Main,LOC
53951,7898,Street,LOC
53952,7898,Street,LOC
53953,7898,and,O
53954,7898,one,O
53955,7898,block,O
53956,7898,north,O
53957,7898,",",O
54020,7902,to,O
54021,7902,reach,O
54022,7902,the,O
54023,7902,northbound,O
54024,7902,lanes,O
54025,7902,of,O
54026,7902,the,O
54027,7902,Stemmons,LOC
54028,7902,Freeway,LOC
54029,7902,is,O
54030,7902,via,O
54031,7902,Elm,LOC
54032,7902,Street,LOC
54033,7902,",",O
54034,7902,which,O
54035,7902,Route,O
54036,7902,No,O
54037,7902,.,O
54038,7902,77,O
54039,7902,traffic,O
54040,7902,is,O
54041,7902,instructed,O
54042,7902,to,O
54043,7902,follow,O
54044,7902,in,O
54045,7902,this,O
54046,7902,part,O
54047,7902,of,O
54048,7902,the,O
54049,7902,city,O
54050,7902,.,O
54129,7908,From,O
54130,7908,Houston,LOC
54131,7908,Street,LOC
54132,7908,",",O
54133,7908,which,O
54134,7908,forms,O
54135,7908,the,O
54136,7908,base,O
54137,7908,of,O
54138,7908,the,O
54139,7908,triangle,O
54140,7908,",",O
54141,7908,three,O
54142,7908,streets,O
54143,7908,-,O
54144,7908,-,O
54145,7908,Commerce,ORG
54146,7908,",",O
54147,7908,Main,LOC
54148,7908,",",O
54149,7908,and,O
54150,7908,Elm,LOC
54151,7908,-,O
54152,7908,-,O
54177,7913,which,O
54178,7913,branches,O
54179,7913,off,O
54180,7913,to,O
54181,7913,the,O
54182,7913,right,O
54183,7913,and,O
54184,7913,is,O
54185,7913,used,O
54186,7913,by,O
54187,7913,traffic,O
54188,7913,going,O
54189,7913,to,O
54190,7913,the,O
54191,7913,Stemmons,LOC
54192,7913,Freeway,LOC
54193,7913,and,O
54194,7913,the,O
54195,7913,Dallas,LOC
54196,7913,-,O
54197,7913,Fort,LOC
54198,7913,Worth,LOC
54199,7913,Turnpike,LOC
54200,7913,.,O
54257,7917,from,O
54258,7917,Main,LOC
54259,7917,across,O
54260,7917,Elm,LOC
54261,7917,to,O
54262,7917,the,O
54263,7917,access,O
54264,7917,road,O
54265,7917,to,O
54266,7917,Stemmons,LOC
54267,7917,Freeway,LOC
54268,7917,and,O
54269,7917,the,O
54270,7917,Dallas,LOC
54271,7917,-,O
54272,7917,Fort,LOC
54273,7917,Worth,LOC
54274,7917,Turnpike,LOC
54275,7917,.,O
54337,7921,in,O
54338,7921,order,O
54339,7921,to,O
54340,7921,reach,O
54341,7921,the,O
54342,7921,Dallas,LOC
54343,7921,-,O
54344,7921,Fort,LOC
54345,7921,Worth,LOC
54346,7921,Turnpike,LOC
54347,7921,",",O
54348,7921,which,O
54349,7921,has,O
54350,7921,the,O
54351,7921,same,O
54352,7921,access,O
54353,7921,road,O
54354,7921,from,O
54355,7921,Elm,LOC
54356,7921,Street,LOC
54357,7921,as,O
54358,7921,does,O
54359,7921,the,O
54360,7921,Stemmons,LOC
54361,7921,Freeway,LOC
54362,7921,.,O
54466,7935,quote,O
54467,7935,",",O
54468,7935,apparently,O
54469,7935,will,O
54470,7935,loop,O
54471,7935,through,O
54472,7935,the,O
54473,7935,downtown,O
54474,7935,area,O
54475,7935,",",O
54476,7935,probably,O
54477,7935,on,O
54478,7935,Main,LOC
54479,7935,Street,LOC
54480,7935,",",O
54481,7935,en,O
54482,7935,route,O
54483,7935,from,O
54484,7935,Dallas,LOC
54485,7935,Love,LOC
54486,7935,Field,LOC
54487,7935,",",O
54488,7935,end,O
54489,7935,quote,O
54490,7935,.,O
54514,7937,From,O
54515,7937,the,O
54516,7937,airport,O
54517,7937,",",O
54518,7937,the,O
54519,7937,President,O
54520,7937,',O
54521,7937,s,O
54522,7937,party,O
54523,7937,will,O
54524,7937,proceed,O
54525,7937,to,O
54526,7937,Mockingbird,LOC
54527,7937,Lane,LOC
54528,7937,to,O
54529,7937,Lemmon,LOC
54530,7937,and,O
54531,7937,then,O
54532,7937,to,O
54533,7937,Turtle,LOC
54534,7937,Creek,LOC
54535,7937,",",O
54536,7937,turning,O
54537,7937,south,O
54538,7937,to,O
54539,7937,Cedar,LOC
54540,7937,Springs,LOC
54541,7937,.,O
54551,7939,and,O
54552,7939,then,O
54553,7939,west,O
54554,7939,on,O
54555,7939,Main,LOC
54556,7939,",",O
54557,7939,turning,O
54558,7939,back,O
54559,7939,to,O
54560,7939,Elm,LOC
54561,7939,at,O
54562,7939,Houston,LOC
54563,7939,and,O
54564,7939,then,O
54565,7939,out,O
54566,7939,Stemmons,LOC
54567,7939,Freeway,LOC
54568,7939,to,O
54569,7939,the,O
54570,7939,Trade,ORG
54571,7939,Mart,ORG
54572,7939,.,O
54598,7941,Harwood,LOC
54599,7941,to,O
54600,7941,Main,LOC
54601,7941,Main,LOC
54602,7941,",",O
54603,7941,Main,LOC
54604,7941,Main,LOC
54605,7941,to,O
54606,7941,Houston,LOC
54607,7941,Houston,LOC
54608,7941,",",O
54609,7941,Houston,LOC
54610,7941,Houston,LOC
54611,7941,to,O
54612,7941,Elm,LOC
54613,7941,Elm,LOC
54614,7941,",",O
54615,7941,Elm,LOC
54616,7941,Elm,LOC
54617,7941,under,O
54618,7941,the,O
54619,7941,Triple,LOC
54620,7941,Underpass,LOC
54621,7941,to,O
54622,7941,Stemmons,LOC
54623,7941,Freeway,LOC
54624,7941,",",O
54625,7941,and,O
54626,7941,on,O
54627,7941,to,O
54628,7941,the,O
54629,7941,Trade,ORG
54630,7941,Mart,ORG
54631,7941,.,O
54777,7950,Dallas,LOC
54778,7950,",",O
54779,7950,Fort,LOC
54780,7950,Worth,LOC
54781,7950,",",O
54782,7950,San,LOC
54783,7950,Antonio,LOC
54784,7950,",",O
54785,7950,and,O
54786,7950,Houston,LOC
54787,7951,Both,O
54788,7951,Dallas,LOC
54789,7951,papers,O
54790,7951,cited,O
54791,7951,White,LOC
54792,7951,House,LOC
54793,7951,sources,O
54794,7951,on,O
54795,7951,September,O
54796,7951,26,O
54797,7951,as,O
54798,7951,confirming,O
54799,7951,the,O
54800,7951,President,O
54801,7951,',O
54802,7951,s,O
54803,7951,intention,O
54804,7951,to,O
54805,7951,visit,O
54806,7951,Texas,LOC
54807,7951,on,O
54808,7951,November,O
54809,7951,21,O
54810,7951,and,O
54811,7951,22,O
54812,7951,",",O
55006,7964,Stevenson,PER
55007,7964,was,O
55008,7964,jeered,O
55009,7964,",",O
55010,7964,jostled,O
55011,7964,",",O
55012,7964,and,O
55013,7964,spat,O
55014,7964,upon,O
55015,7964,by,O
55016,7964,hostile,O
55017,7964,demonstrators,O
55018,7964,outside,O
55019,7964,the,O
55020,7964,Dallas,LOC
55021,7964,Memorial,LOC
55022,7964,Auditorium,LOC
55023,7964,Theater,LOC
55024,7964,.,O
55150,7972,and,O
55151,7972,that,O
55152,7972,he,O
55153,7972,would,O
55154,7972,visit,O
55155,7972,San,LOC
55156,7972,Antonio,LOC
55157,7972,",",O
55158,7972,Houston,LOC
55159,7972,",",O
